,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,Location,latitude,longitude
187,40230,Cumberland,02/01/2001,4760.3,1561.5,1084.8,105790,"(41.984246, -87.838028)",41.79542,-87.631157
188,40750,Harlem-O'Hare,02/01/2001,2706.4,1011.5,650.3,60775,"(41.98227, -87.8089)",,
189,41280,Jefferson Park,02/01/2001,6661.4,2645.8,1872.0,151298,"(41.970634, -87.760892)",41.910655,-87.649177
190,41330,Montrose-O'Hare,02/01/2001,1958.6,690.0,489.3,43889,"(41.961539, -87.743574)",,
191,40550,Irving Park-O'Hare,02/01/2001,3661.0,1587.3,1130.5,84091,"(41.952925, -87.729229)",,
192,41240,Addison-O'Hare,02/01/2001,2487.2,800.8,543.5,55121,"(41.94738, -87.71906)",41.872108,-87.791602
193,40060,Belmont-O'Hare,02/01/2001,4606.1,2231.3,1586.5,107392,"(41.938132, -87.712359)",,
194,41020,Logan Square,02/01/2001,4636.0,2252.0,1496.0,107712,"(41.929728, -87.708541)",,
195,40570,California/Milwaukee,02/01/2001,2912.7,1374.0,865.3,67211,"(41.921939, -87.69689)",,
196,40670,Western/Milwaukee,02/01/2001,2844.2,1254.3,773.5,64994,"(41.916157, -87.687364)",,
197,40590,Damen/Milwaukee,02/01/2001,4170.4,1789.5,1266.0,95630,"(41.909744, -87.677437)",,
198,40320,Division/Milwaukee,02/01/2001,4484.4,1940.3,1324.0,102745,"(41.903355, -87.666496)",,
199,41410,Chicago/Milwaukee,02/01/2001,2204.9,703.5,423.5,48606,"(41.896075, -87.655214)",41.954521,-87.674868
200,40490,Grand/Milwaukee,02/01/2001,1152.5,479.5,292.5,26138,"(41.891189, -87.647578)",,
201,40370,Washington/Dearborn,02/01/2001,8890.6,2275.5,1379.0,192430,"(41.883164, -87.62944)",,
202,40790,Monroe/Dearborn,02/01/2001,5945.8,1102.3,652.3,125934,"(41.880703, -87.629378)",,
203,40070,Jackson/Dearborn,02/01/2001,7392.2,1903.5,1041.3,159623,"(41.878183, -87.629296)",41.966046,-87.701644
204,41340,LaSalle,02/01/2001,2208.6,354.3,191.5,46354,"(41.875568, -87.631722)",41.8768,-87.631739
205,40430,Clinton-Forest Park,02/01/2001,2278.2,744.5,648.5,51136,"(41.875539, -87.640984)",,
206,40350,UIC-Halsted,02/01/2001,4405.3,963.0,598.8,94352,"(41.875474, -87.649707)",,
207,40470,Racine,02/01/2001,2242.7,768.5,425.0,49627,"(41.87592, -87.659458)",41.854109,-87.694774
208,40810,Medical Center,02/01/2001,1969.9,987.5,613.0,45799,"(41.875706, -87.673932)",41.854225,-87.685129
209,40220,Western-Forest Park,02/01/2001,991.9,635.3,422.3,24067,"(41.875478, -87.688436)",41.768367,-87.625724
210,40250,Kedzie-Homan-Forest Park,02/01/2001,1297.6,853.8,564.0,31622,"(41.874341, -87.70604)",41.882695,-87.63378
211,40920,Pulaski-Forest Park,02/01/2001,1215.2,797.0,611.3,29937,"(41.873797, -87.725663)",41.874039,-87.627479
212,40970,Cicero-Forest Park,02/01/2001,1044.3,692.0,493.5,25627,"(41.871574, -87.745154)",41.885678,-87.641782
213,40010,Austin-Forest Park,02/01/2001,1527.8,639.5,400.3,34714,"(41.870851, -87.776812)",,
214,40180,Oak Park-Forest Park,02/01/2001,1394.1,392.3,233.3,30384,"(41.872108, -87.791602)",,
215,40980,Harlem-Forest Park,02/01/2001,802.3,390.3,276.3,18711,"(41.87349, -87.806961)",,
216,40390,Forest Park,02/01/2001,3568.1,1183.5,771.3,79180,"(41.874257, -87.817318)",,
217,41030,Polk,02/01/2001,2298.3,4.0,0.5,45983,"(41.871551, -87.66953)",,
218,40830,18th,02/01/2001,997.6,0.8,0.0,19955,"(41.857908, -87.669147)",41.967901,-87.713065
219,40210,Damen-Cermak,02/01/2001,671.0,0.3,0.0,13421,"(41.854517, -87.675975)",,
220,40740,Western-Cermak,02/01/2001,548.7,3.0,0.0,10986,"(41.854225, -87.685129)",,
221,40440,California-Cermak,02/01/2001,797.7,0.5,0.0,15955,"(41.854109, -87.694774)",41.947028,-87.674642
222,41040,Kedzie-Cermak,02/01/2001,441.3,1.8,0.0,8833,"(41.853964, -87.705408)",,
223,40780,Central Park,02/01/2001,455.9,2.0,0.0,9126,"(41.853839, -87.714842)",,
224,40150,Pulaski-Cermak,02/01/2001,473.9,1.5,0.0,9484,"(41.853732, -87.724311)",,
225,40600,Kostner,02/01/2001,314.3,0.3,0.0,6286,"(41.853751, -87.733258)",,
226,40420,Cicero-Cermak,02/01/2001,883.0,3.5,0.0,17673,"(41.85182, -87.745336)",,
227,40580,54th/Cermak,02/01/2001,1587.4,7.0,0.0,31776,"(41.85177331, -87.75669201)",,
228,40020,Harlem-Lake,02/01/2001,3288.3,1563.5,926.3,75724,"(41.886848, -87.803176)",,
229,41350,Oak Park-Lake,02/01/2001,1382.0,499.0,331.8,30962,"(41.886988, -87.793783)",,
230,40610,Ridgeland,02/01/2001,1282.2,368.3,206.3,27942,"(41.887159, -87.783661)",,
231,41260,Austin-Lake,02/01/2001,1902.5,877.5,533.8,43695,"(41.887293, -87.774135)",,
232,40280,Central-Lake,02/01/2001,2372.6,1238.5,848.3,55799,"(41.887389, -87.76565)",,
233,40700,Laramie,02/01/2001,1335.8,631.8,403.5,30856,"(41.887163, -87.754986)",,
234,40480,Cicero-Lake,02/01/2001,1322.9,679.0,452.8,30985,"(41.886519, -87.744698)",,
235,40030,Pulaski-Lake,02/01/2001,1530.6,876.5,618.3,36591,"(41.885412, -87.725404)",,
